msno,total_transactions,total_actual_paid,mean_actual_paid,mean_plan_days,total_cancellations,latest_auto_renew,latest_payment_method,average_under_overpayment,city,bd,registered_via,reg_year,reg_month,reg_day,account_age_days,num_100,num_unq,total_secs,total_active_days,skip_ratio,loop_ratio,secs_per_active_day,days_since_last_transaction,days_until_expiration,gender_male,gender_unknown,is_churn
27NYtD3tfXfniirEWJk/Rf8liw+tR0kqxl6Uu59PgFs=,28,3932,140.42857142857142,30.0,1,1,41,0.0,22.0,36.0,7.0,2014.0,12.0,23.0,859.0,6871.0,19.253303540676136,2311831.478004456,454.0,0.2319018402719189,356.8736355684314,5092.139707231407,55,-24,0,0,0
79ZnoGYeESgShMrFH8toMAu71zz2eDZdS1qy7wisH6g=,27,4023,149.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,47,-16,0,1,0
xBhZtbP0VwcyP7S/33UnsKZo5/k0AqJODvz89RrQ8dI=,18,1584,88.0,30.0,1,1,41,-16.555555555555557,1.0,27.0,7.0,2015.0,8.0,31.0,608.0,716.0,33.16665745370626,285162.1533050537,36.0,0.3961178979430776,21.587939186214182,7921.168724815734,55,-24,0,1,0
zW57LCAdNWLX6gadNDtjwnU+9gBLCJxS/JIsNx8FMsk=,27,4023,149.0,30.14814814814815,0,1,37,0.0,5.0,63.0,9.0,2005.0,11.0,19.0,4180.0,11683.0,20.075313387545744,3888935.537624359,478.0,0.206064287967489,581.9582466725223,8135.848234865852,38,-7,0,0,0
jsekyYQ3oXB/TxXqIP2mKFTjrJaCN68Ni9xIs/ItalE=,9,891,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,7.0,29.0,275.0,0.0,1.6666611111296294,239.484001159668,3.0,0.8999991000009,0.0,79.82773429410834,30,0,0,1,0
uV6S5EtAei7STrSuHm1wObvNvw1MIounpuOX0DQAgxw=,28,3862,137.92857142857142,30.0,1,1,41,-7.5,1.0,27.0,7.0,2014.0,8.0,18.0,986.0,3193.0,14.08467685142432,1132062.2526340485,248.0,0.3222585324577732,226.70010584417832,4564.766963654753,48,-17,0,1,0
gfeIzCosg1rOdII96hp/I5I8sM/7owp8ERxRXWo14mk=,27,4023,149.0,29.0,0,1,37,5.518518518518505,5.0,23.0,3.0,2012.0,8.0,28.0,1706.0,9917.0,23.891036486976517,3449488.0295085907,569.0,0.361493875567862,415.0927421871601,6062.36901385747,35,-4,1,0,0
9oha95bF7PZaUh08y0BhfFDJTUC+aj0dMsWDgwV3JGA=,5,495,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,11.0,20.0,161.0,106.0,10.684204903050052,74465.18296813965,19.0,0.3538011592455801,9.921178201848027,3919.218093471511,41,-10,0,1,0
RN4QsxBFEqwX7S1rW5rxNqGUNRoW3TDrHbY+g0z05CY=,25,3485,139.4,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,3.0,23.0,769.0,14401.0,25.830985395754823,4785626.328319907,497.0,0.2468215897886548,557.5085194884407,9629.026623802096,39,-8,0,1,0
xEnsZgtKgV7Wxib2ILZ8UBtjO8mJt+qP0OAErXC7XL4=,1,0,0.0,30.0,0,1,30,-149.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,90,-61,0,1,1
70W0dPcwiTczyytXmjegJFVflyGhvC8fngW7rwlQOS0=,8,792,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,7.0,13.0,291.0,2837.0,24.42372674375197,961464.1689314842,118.0,0.2309899564060498,116.15749177798338,8148.00074111421,48,-17,0,1,0
09ZEmcB3OUoyMTL1P7J6f5F1/ZP/Z24AwLTX8HrbJkk=,10,1490,149.0,30.0,0,1,39,0.0,14.0,28.0,4.0,2015.0,12.0,4.0,513.0,2797.0,10.934210046745171,1016496.4601135254,228.0,0.0773655447875595,255.8024246852973,4458.317611975216,30,20,0,1,0
ocFef+5w61p/9KaXR3hnkrGQxwpuLn0u+mp1q7+U/uo=,21,3129,149.0,25.714285714285715,0,1,34,21.28571428571429,9.0,48.0,9.0,2015.0,8.0,11.0,628.0,30139.0,110.9264665100564,8460284.672027588,272.0,0.0394227816888477,271.70249112949745,31103.986621278396,30,0,1,0,0
SY5tNGqiXLysTMfSQgi5kJM0FW/yYL4oExKCkrtvArk=,15,1485,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,1.0,16.0,470.0,155.0,7.212119026630598,137041.0814397335,33.0,0.3159420198277675,21.491573352011116,4152.758785216534,45,-14,0,1,0
GJ7kXNqoNPIeGEQNOh/qSzH1ngPw6hbgh30cmnutMEI=,27,3337,123.5925925925926,28.88888888888889,0,1,41,5.518518518518519,1.0,27.0,7.0,2013.0,11.0,21.0,1256.0,6610.0,19.21977979736748,2310116.1632914543,455.0,0.3454471870939318,343.9163523476915,5077.178269274004,43,-12,0,0,0
WVeDYYWtwYLK32DHlmmN0zPNgCw8+JYaJlA6lklepr0=,27,5662,209.7037037037037,43.11111111111112,1,1,40,5.518518518518505,6.0,17.0,3.0,2014.0,5.0,17.0,1079.0,18227.0,39.568474940975776,7103662.121713638,774.0,0.4981645762141841,460.6443746125023,9177.85791981274,84,329,1,0,0
KlUs+mjSj3PWtT8oBWxF51LXPzi6WFxVrZ8opX/GWgA=,13,1937,149.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,57,-26,0,1,0
AUlABmmpVNEHqb8fjN9jxH20zXinCW1jssFlkPYeixA=,23,3427,149.0,22.17391304347826,0,1,34,38.8695652173913,22.0,42.0,9.0,2007.0,7.0,13.0,3579.0,19420.0,23.52202905845088,6330293.886392593,749.0,0.1860696136529745,825.6086962419562,8451.66061665686,30,0,0,0,0
h9ndwtPeD3hAp04UuzrHOumw6wd2qT5aJQBjxSDZjDs=,7,693,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,9.0,12.0,230.0,4836.0,24.923075553677165,1655790.981918335,182.0,0.2176956457823104,194.0369698440687,9097.752148026448,50,-19,0,1,0
0h69V15t/Ma7iFkI0VkESB1H1oy7grK9ozGV41b4ZbY=,18,1782,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,51,-20,0,1,0
oKNGscUUE2Qjpp+mz9hkGs5Kzte1d0Cf1koT6cQlOXI=,15,1485,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,1.0,24.0,462.0,536.0,23.23255273661564,215353.981048584,43.0,0.4053586827540304,23.07106650594504,5008.230952704057,38,-7,0,1,0
STTXfe/rhjoi42sPayVXuVn4XTER0qReLzvKia8SxYY=,27,4023,149.0,29.03703703703704,0,1,37,5.518518518518505,15.0,30.0,9.0,2013.0,11.0,21.0,1256.0,11923.0,20.76284543946946,3969733.200491786,506.0,0.1483954618162752,574.2466413042011,7845.322375570281,58,-28,1,0,0
ZJ9cSJg3xY1ciLmJoYSYDF7zJ75q3fcLFtups8au2G8=,27,4023,149.0,29.03703703703704,0,1,40,5.518518518518505,13.0,31.0,9.0,2007.0,11.0,27.0,3442.0,5353.0,12.839285427694522,1984839.8068503889,448.0,0.2730173196524415,416.9231894495949,4430.4458985400215,47,-12,0,0,0
yLExIt/K0/KKtTZqliVNbYBhpRFGH8Mv/UyA9Gx74pk=,9,891,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,7.0,4.0,300.0,376.0,6.863634803719362,102884.39964675903,44.0,0.296703292627702,54.78138959001028,2338.281278726051,58,-27,0,1,0
6EFLrM9csXkwj6lLErGyTJs6iXQA/UuWSdcklnxcH/E=,27,4023,149.0,28.88888888888889,0,1,41,5.518518518518505,1.0,27.0,7.0,2012.0,2.0,7.0,1909.0,1830.0,11.999999240506376,647956.3675746918,158.0,0.2973416465463024,152.49988256865524,4100.98940863796,55,-23,0,1,0
h7UfvjqbntuecSPOXQnrRoioloUBBKYR0bXxmuoJkjg=,36,4224,117.33333333333331,29.166666666666668,2,1,41,-2.5277777777777857,13.0,33.0,7.0,2010.0,7.0,23.0,2473.0,663.0,12.1666648232326,237538.23377227783,66.0,0.3463999972288,54.49311415260176,3599.063602752148,30,292,0,0,0
b8JCdWaJKeFaAqVIh7BRdeTVo4LmmxjQX8D8JMbsWKI=,16,1584,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2011.0,10.0,5.0,2034.0,164.0,6.235292895040608,111936.48391413689,51.0,0.3937282161371391,26.301849767465377,2194.8325875649216,60,-29,0,1,0
qWLBye4jAuEUrzCryDkJOXxhvAk+N9F8gWpGgv6mKEQ=,14,1188,84.85714285714286,30.0,1,1,41,-21.28571428571428,1.0,27.0,7.0,2016.0,4.0,26.0,369.0,10.0,14.833308611152315,12485.465270996094,6.0,0.8074533659966854,0.6741579724770139,2080.907410320332,35,-4,0,1,0
89mJ4VqaiDd9jHOq5sk+GkokbvBBANojm3tQKROGCGs=,13,1287,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,3.0,16.0,410.0,508.0,11.195875134445862,262966.2701932192,97.0,0.502950816374093,45.373813137566046,2710.992196735023,45,-14,0,1,0
Jo8N16Nc3fiQWoP1Q75mb0udP+vCu7JmeDoOG7yM734=,14,1386,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,2.0,18.0,437.0,1015.0,33.41934405827611,298220.0438041687,31.0,0.0951178443171898,30.371622330882275,9619.99830981244,43,-12,0,1,0
XwjaKaAEyZEkrqF2expAbcTEi6LfnlQd/edy+4qQWCc=,26,3534,135.92307692307693,28.846153846153847,1,1,41,2.2692307692307736,14.0,29.0,7.0,2011.0,5.0,23.0,2169.0,18286.0,27.840248385057087,4331207.255660772,482.0,0.1464213929273698,656.8186166625086,8985.906982991084,41,-10,1,0,0
loHJZzpswTPlD7GUw2MJAKrBjZDOtntAru7I31lRZMA=,21,3129,149.0,28.714285714285715,0,1,39,7.095238095238102,4.0,22.0,9.0,2012.0,10.0,21.0,1652.0,8831.0,15.470015956725836,2889054.474594116,617.0,0.1884700663695992,570.8458424506124,4682.422087147318,30,1,0,0,0
XHqehuxk5LgCEH0/MiWg7iHS5uFIClhmFC//PKvj6sg=,4,396,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,12.0,20.0,131.0,47.0,9.777766913592318,17460.190948486328,9.0,0.6682027341842058,4.806818606657327,1940.0190609217464,42,-11,0,1,0
idmyRhlFq87iOa6G32ViTA4+VWbDVH9WUVcb1zAj0/E=,12,1188,99.0,30.0,1,1,41,0.0,1.0,27.0,7.0,2016.0,3.0,12.0,414.0,244.0,9.449998425000262,250801.1220910549,60.0,0.5516778449439216,25.820082800613296,4180.018004847914,104,-77,0,1,1
2IqoTTtZkvhaEdqx/83MTdRSJh/X3BVuhQJtyjghJRw=,23,3427,149.0,22.17391304347826,0,1,34,38.8695652173913,4.0,27.0,9.0,2006.0,2.0,25.0,4082.0,16247.0,26.83032992747253,5089045.946169376,666.0,0.2857858049502115,605.5458128342283,7641.210014650565,30,0,1,0,0
QZCreaFNdETwFgqRkZXGQSxo9szYb+lWkmZ4pY1/2WU=,7,1138,162.57142857142858,26.0,1,1,40,21.428571428571445,15.0,24.0,9.0,2015.0,2.0,25.0,795.0,7543.0,45.91082510122133,2437015.9316864014,157.0,0.1502172562070999,164.29672828581025,15522.393480652652,47,-17,1,0,0
7jKGV95z3Ts57kPVYClAjF1uJLK+oRk+iesu8TOxA4M=,17,1683,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,11.0,26.0,521.0,3946.0,22.999998756756824,1353904.687236786,185.0,0.1870920953823566,171.56515207155147,7318.403319204069,35,-4,0,1,0
TWQRKEeJ9XVhB9jZdigg081bCvrCGHeiiYOwBGYq0us=,20,2980,149.0,30.0,0,0,38,0.0,22.0,19.0,3.0,2014.0,1.0,23.0,1193.0,13138.0,27.76820166763445,4567839.718943596,673.0,0.4614372023959776,473.1309368155366,6787.280313626736,60,-30,0,0,0
XtGkl3vNdnXOZ0pSgLUeU2J+DYNd49Hr2m6SyE5R464=,21,2079,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,7.0,3.0,667.0,13860.0,28.715163346000757,4067613.620896816,488.0,0.11132893714054,482.6716465540795,8335.27364250836,59,-28,0,1,0
i5eR2ARKd7245dDBbrsCYYEZY594cXsUZLb42brqHsI=,10,990,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,6.0,25.0,309.0,403.0,6.462961766118191,164084.7537870407,54.0,0.3997747702728066,62.35521592600907,3038.605988907052,37,-6,0,1,0
4GlGvm8owpXf5GCyg7Gzs07OrEHzdjn2hi+zSNvZEWk=,3,300,100.0,30.0,0,1,30,0.0,13.0,19.0,9.0,2011.0,5.0,24.0,2168.0,700.0,16.8444407012354,206347.2083901167,45.0,0.3599999974736842,41.55671279614128,4585.4925007820375,56,-26,0,0,0
4rPKX+pMzQ4dptZt/KAso+n39cVcp9+juxpPztVWyIc=,21,3129,149.0,28.714285714285715,0,1,39,7.095238095238102,11.0,27.0,9.0,2008.0,9.0,10.0,3154.0,6701.0,35.99421757258858,1927046.1167821884,173.0,0.0865275141220398,186.1687401538559,11138.99425082223,30,28,1,0,0
YWQB7QXQUrUymPW022lAriCGvvch5t7OKQwrX1ZO08o=,7,1198,171.14285714285714,21.428571428571427,1,1,36,42.57142857142856,12.0,26.0,9.0,2008.0,7.0,9.0,3217.0,852.0,9.093022550928485,353858.8975100517,129.0,0.4120577956549188,93.69811393812758,2743.092016117299,58,-28,1,0,0
e0ktU5FSuqvjn7pNx3xsfrd4e4zw3/MEB50jhHPzxAg=,19,3576,188.21052631578948,38.68421052631579,0,0,38,0.0,14.0,28.0,9.0,2015.0,5.0,22.0,709.0,9651.0,21.300751479309184,2890016.8840522766,532.0,0.196078431229091,453.0823937620561,5432.362461895963,64,131,0,0,0
Ifu3x10W/rukRXf8nz8b6lz09UHSzaONPlI4SZu4RKY=,26,3544,136.30769230769232,30.0,2,1,41,-10.384615384615358,5.0,34.0,7.0,2010.0,12.0,11.0,2332.0,278.0,10.40624674804789,121004.52696800232,32.0,0.2067307642612797,26.71469739127377,3781.390286065608,492,-68,1,0,1
kZErMtW2Hdvcd2JDLFZtSGNkSQaFFAStXkwxXelRm3Y=,23,3427,149.0,22.17391304347826,0,1,33,38.8695652173913,5.0,38.0,9.0,2014.0,3.0,11.0,1146.0,75963.0,85.09574354925873,20155606.459701534,752.0,0.0635729742650188,892.6767415723967,26802.667808078277,30,0,0,0,0
h0QD9P5Gb8NajV65tDjM3kjjSgNuZxMn2Zgzez03x6Q=,7,1020,145.71428571428572,26.714285714285715,0,0,35,0.0,13.0,35.0,9.0,2007.0,3.0,19.0,3695.0,786.0,20.044439990124445,237422.54760742188,45.0,0.1635687717140448,39.2128494614344,5276.055441041499,54,-24,1,0,0
XCe3QDQvtuKA+/AN/mouu0f3CnQA42RQcMeoTuBU1pg=,27,4023,149.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,2.0,18.0,1167.0,3312.0,14.632183487580935,1669074.7153818607,348.0,0.3598793358071201,226.3502053066109,4796.19157304582,44,-13,0,1,0
ocyC+gJIZQM4hwYAakQGReS5v/I2OBs1i+fOZ2Ik1r4=,21,3129,149.0,28.714285714285715,0,1,39,7.095238095238102,15.0,26.0,3.0,2012.0,9.0,30.0,1673.0,13764.0,25.630789841542374,5184319.494979858,734.0,0.4014183919059497,537.0101629716339,7063.105482764038,30,1,1,0,0
JygWWuEEb7imsQnXuieEB0beYwaJsv1GHB08lTcUIV4=,17,1683,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,11.0,16.0,531.0,173.0,6.407406220850699,105737.96433019638,54.0,0.4472656162643434,26.99996286132184,1958.1100879462128,45,-14,0,1,0
BJEXDMH3p5LPQbafWT+15hXa5gmG6cFvQPMRaqf3UKs=,15,2235,149.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,1.0,13.0,473.0,5420.0,28.484443178469192,1737703.4248199463,225.0,0.300109889780099,190.27923639751896,7723.12598928305,49,-18,0,1,0
9ohmPyGQWYp4HxGdTQ12uBCLlxTIYe/p26HojzRCmfA=,21,3129,149.0,28.714285714285715,0,1,39,7.095238095238102,22.0,21.0,3.0,2013.0,2.0,7.0,1543.0,24791.0,27.412451006323597,7616881.372161865,771.0,0.2362413484493633,904.3697314984282,9879.22344146515,30,12,1,0,0
GJNNQuBdOHFhoZRh/dm/KCFIErmBiVUnvMwz42yV7hA=,27,3843,142.33333333333334,28.88888888888889,0,1,41,-1.1481481481481524,5.0,34.0,7.0,2013.0,3.0,4.0,1518.0,14278.0,19.553124694482428,4268585.168344736,640.0,0.1150593176391784,730.215396308246,6669.664221325147,36,-5,1,0,0
KiMAlsOsnDYyQu92qS2A7JaQ4DLzQCM9JE07OU2gSwA=,14,1386,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,2.0,4.0,451.0,6251.0,25.40601408248068,1787340.8746515363,266.0,0.1671686745051336,246.04400829134556,6719.326343828095,58,-27,0,1,0
vTZbMiBhtMLl7/9WmaAFXjkUUCfYCZKCdCQyZpu7cZY=,21,2079,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,40,-9,0,1,0
Q/fJZzOSVtEfmM6v6ZlokJlqeJvfY8Tqnb4C1V+fyIw=,12,1788,149.0,30.0,0,1,39,0.0,8.0,19.0,3.0,2015.0,11.0,30.0,517.0,4824.0,18.15384548887013,1554653.7407979963,273.0,0.2668941080345176,265.72867691700674,5694.702138648261,30,32,1,0,0
GT79y8AamwKZKRaT9a8kvv0X7dm/ofxzEB0rv3vit0M=,27,3483,129.0,28.88888888888889,0,1,41,4.777777777777772,4.0,31.0,7.0,2011.0,3.0,6.0,2247.0,1250.0,9.944443753858073,594618.8069992065,144.0,0.2611617846319645,125.69820635095692,4129.296984071088,56,7,1,0,0
R81MtuMzmYAMmonDYVqtFmPJXQuA1ZrhNCx4uKH52o0=,27,4023,149.0,28.88888888888889,0,1,41,5.518518518518505,1.0,27.0,7.0,2014.0,2.0,7.0,1178.0,785.0,5.742423372360095,198179.76172065732,66.0,0.1197440574063614,136.7016296224559,3002.7232074761405,55,-24,0,1,0
mRbXsDGLPsJxdvzsefIEkFrNWMUhi+VeKWL+IDMEVao=,26,3874,149.0,28.846153846153847,0,0,38,5.730769230769226,5.0,29.0,3.0,2013.0,4.0,16.0,1475.0,50852.0,70.68681221584049,14311567.18912506,728.0,0.1346356170195129,719.3985866944854,19658.745868870334,37,-7,1,0,0
hCQKjRE4cwhD7BhkohrFQa5P+dZyWqGFDsWdx9YITPs=,19,1881,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,9.0,16.0,592.0,1243.0,12.556290559186056,460773.7004365921,151.0,0.3041530932241323,98.99412602787964,3051.481257760129,45,-14,0,1,0
kmigE2V12TZj9cKWKSRf89tNOSg9eDhgC5zbwQ0g2G4=,13,1287,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,34,-3,0,1,0
RpxYhYgaSc7cESI810AU5L83lfJL0SHd0UDSMggDyjE=,10,990,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,45,-14,0,1,0
sgJ+3DZzhp5Lm6jE3xLPCvN4JC46J00ZkS7eR3Y1PfE=,13,1287,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,2.0,4.0,1181.0,1829.0,21.187498108259096,724964.0469055176,112.0,0.2133961621898479,86.32445074024719,6472.892698005273,53,-22,0,1,0
UNLIUgGLG2u7MpwxeR+ksE3iS/YDA1gatV6ayDrfM/M=,7,693,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,9.0,16.0,226.0,5917.0,49.94782174366768,1606176.235961914,115.0,0.0677160676155092,118.46360078984108,13966.748663429804,46,-15,0,1,0
hTDdpPKtB1JsQ4+MU00QeyBnNMfU3LQEUhj8a3KOFTI=,19,1881,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,44,-13,0,1,0
o0ari5L4JUA8nnmL9uN2Cx4gs82XZTO6dtMg1QsjLcY=,13,2340,180.0,30.0,2,1,36,0.0,1.0,27.0,4.0,2016.0,4.0,26.0,369.0,4237.0,20.357141738618587,1298590.9785461426,182.0,0.1209876540911915,208.13324252833408,7135.114874697768,55,-25,0,1,0
m1e20IiHjz+HlUzN53kye/fm0OlODyTJcjCGeTgnUv8=,4,596,149.0,30.0,0,0,38,0.0,21.0,19.0,4.0,2016.0,5.0,13.0,352.0,1207.0,26.4722185455252,343121.6363220215,72.0,0.3888182956848017,45.59495238280678,4765.577620364517,46,-16,0,0,0
Hc6aRCjvp63VRbchx9vLMqj+HNljShF58r9uAWilhR8=,2,1072,536.0,180.0,0,0,32,0.0,15.0,30.0,9.0,2016.0,8.0,24.0,249.0,777.0,16.45882159307981,260365.3002371788,85.0,0.4570552123872433,47.20869738570587,3063.120818893772,66,120,0,0,1
1+m3lC2WFBcG8kwvo9eZNAhf5MoKjHyY2eslOblMstc=,17,1683,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2015.0,11.0,10.0,537.0,2.0,6.7999864000272,2137.56600189209,5.0,0.7428569306123055,0.294117802767072,427.5123453537273,51,-20,0,1,0
L9hbJ6EP1o8ANmZFZUh4eo4SK+GjdnWc2h0UKoG9X/E=,12,1188,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,4.0,24.0,371.0,712.0,21.18420495152501,174939.49458312988,38.0,0.2466793145476346,33.609930867357654,4603.669698590339,38,-7,0,1,0
YRP13c6u3zbNi+QnW6vstG1KXWr5wmsZtWvaztg5b0g=,27,3933,145.66666666666666,30.0,0,1,41,-3.333333333333343,1.0,27.0,7.0,2012.0,3.0,14.0,1873.0,6135.0,20.156163831337977,1948595.134612441,365.0,0.2287517681698207,304.3732432224591,5338.616660893903,41,-9,0,1,0
dKWrpKW7XQlKoh27k26rOmeNxvPk2RVDqFuBtJddPjw=,13,1937,149.0,27.692307692307693,1,1,41,11.461538461538453,1.0,27.0,7.0,2014.0,3.0,30.0,1127.0,104.0,6.23076443787351,33633.817932128906,13.0,0.4463519121737376,16.691344075600014,2587.214773844705,61,-31,0,1,0
SRI0i9RnoTjKIC74aJwZzeu7QUiJ2vLNHgYLtrriQQw=,23,3427,149.0,22.17391304347826,0,1,34,38.8695652173913,17.0,39.0,9.0,2005.0,11.0,28.0,4171.0,10352.0,18.51789931938188,2937673.61486046,419.0,0.129144446920825,559.026390153289,7011.154044746825,30,0,1,0,0
17tT+udU2EXV7MAa44cVmPu37tw/bFr4bpBSO5cRXUc=,3,2148,716.0,156.66666666666666,0,1,36,0.0,5.0,29.0,3.0,2013.0,9.0,8.0,1330.0,31215.0,52.20307611995268,8881380.332161307,650.0,0.0884894016397935,597.9531541157148,13663.661839268752,52,-22,0,1,0
+pUBuZQRJDPJnCcWasJ4LEn5WU/FmwQ5jcJtZbCfIx4=,3,540,180.0,30.0,0,1,29,0.0,1.0,27.0,9.0,2015.0,8.0,21.0,618.0,3321.0,54.18866902100584,975483.6102752686,53.0,0.1265762547547555,61.28586376340044,18405.347664562112,32,-1,0,1,0
